Id,Nombre,Sexo,RUT,Fecha Nacimiento,Dirección,Correo,AFP,APV,Saldo AFP,Saldo APV,Inicio cotizaciones,Última cotización
53,Germaine Hutchinson,F,7735864-9,20/08/1964,7704 West Green Hill St.Freeport NY 11520,GermaineHutchinson@gmail.com,Planvital,False,24140895,0,14/02/1984,11/03/2018
54,Rhea Gonzalez,M,10884957-7,17/08/1976,9839 Summer Dr.Palm Harbor FL 34683,RheaGonzalez@gmail.com,Habitat,False,10371847,0,15/06/1996,07/04/2016
55,Sybill Estrada,M,13335902-K,30/08/1988,9521 N. Madison RoadBasking Ridge NJ 07920,SybillEstrada@gmail.com,Modelo,True,3590878,3119543,30/03/2006,19/09/2018
56,Conan Finch,M,6016474-0,24/12/1964,25 Brandywine StreetHarrison Township MI 48045,ConanFinch@gmail.com,Provida,False,22507143,0,10/01/1984,20/07/2018
57,Melinda Craft,F,8354396-9,30/11/1972,98 Military LaneFredericksburg VA 22405,MelindaCraft@gmail.com,Provida,True,18867620,1199881,26/12/1990,11/04/2019
58,Conan Hutchinson,M,9378424-7,26/07/1974,7835 Spring St.New Bedford MA 02740,ConanHutchinson@gmail.com,Modelo,False,47046,0,26/09/1992,23/12/2017
59,Tanek Richard,M,17672673-K,15/09/1989,6 Constitution St.Savannah GA 31404,TanekRichard@gmail.com,Planvital,True,6207588,11380712,15/01/2009,17/08/2019
60,Petra Saunders,F,19581991-1,08/06/1993,36 Newport Ave.Ormond Beach FL 32174,PetraSaunders@gmail.com,Cuprum,False,9552007,0,06/11/2012,23/12/2016
61,Tanek Farrell,F,17459547-K,23/03/1982,77 Newbridge Dr.East Haven CT 06512,TanekFarrell@gmail.com,Cuprum,True,13223984,638925,29/09/2002,06/11/2018
62,Melinda Foreman,F,18194579-K,25/02/1996,934 W. State St.Spartanburg SC 29301,MelindaForeman@gmail.com,Cuprum,False,5535212,0,17/02/2015,15/12/2016
63,Sarah Mcdowell,M,19806020-7,01/02/1986,78 2nd AvenueBloomfield NJ 07003,SarahMcdowell@gmail.com,Cuprum,False,13363293,0,14/11/2006,27/02/2017
64,Graham Velez,M,8384849-7,21/04/1977,736 Carson LaneWoodstock GA 30188,GrahamVelez@gmail.com,Habitat,False,9977905,0,09/08/1995,16/08/2020
65,Mason Kirkland,M,9780298-K,25/08/1976,8056 SE. Honey Creek Dr.East Orange NJ 07017,MasonKirkland@gmail.com,Modelo,True,8532002,16978283,05/12/1995,19/12/2019
66,Jackson Blake,F,7926824-6,16/09/1968,68 Bradford St.Riverview FL 33569,JacksonBlake@gmail.com,Provida,False,36654797,0,20/12/1988,16/12/2016
67,Jordan Holt,M,17282708-K,02/11/1997,8519 Liberty St.Apopka FL 32703,JordanHolt@gmail.com,Habitat,False,9008583,0,24/03/2017,11/04/2018
68,Patience Grimes,F,18332545-5,29/08/1982,795 Tunnel Rd.Chelsea MA 02150,PatienceGrimes@gmail.com,Cuprum,True,7857873,14411869,24/08/2001,12/11/2017
69,Connor Hull,F,14541228-4,22/10/1994,9600 North Sherman Ave.Sykesville MD 21784,ConnorHull@gmail.com,Cuprum,True,7724064,10728657,12/02/2012,05/07/2017
70,Arthur Scott,M,12589985-6,20/05/1980,101 West Coffee Ave.Providence RI 02904,ArthurScott@gmail.com,Habitat,True,16452609,11757782,05/09/2000,11/10/2018
71,Josiah Davenport,M,6515164-K,16/06/1962,94 Linda St.Bolingbrook IL 60440,JosiahDavenport@gmail.com,Planvital,True,16920950,17072594,29/07/1982,30/03/2018
72,Hoyt Mcgee,M,7925485-K,19/08/1961,10 Orchard St.Ashburn VA 20147,HoytMcgee@gmail.com,Habitat,True,21444835,26863412,03/06/1979,01/01/2020
73,Jesse Gonzalez,M,17709690-4,29/09/1981,24 Green StreetCuyahoga Falls OH 44221,JesseGonzalez@gmail.com,Habitat,True,9999687,13979164,07/06/2000,17/01/2020
74,Sebastian Sharpe,F,7004061-8,03/09/1969,979 Ivy St.Saint Johns FL 32259,SebastianSharpe@gmail.com,Planvital,False,36652252,0,13/11/1989,24/06/2018
75,Kirk Cain,M,8522610-K,10/01/1972,42 Brook St.San Pablo CA 94806,KirkCain@gmail.com,Provida,True,2201653,13442286,05/03/1990,18/09/2018
76,Clayton Walters,M,6659467-6,16/11/1964,23 Jennings Rd.Framingham MA 01701,ClaytonWalters@gmail.com,Habitat,True,15513222,20852794,31/10/1982,05/04/2017
77,Timothy Sears,M,14733839-K,15/03/1993,6 Constitution St.Savannah GA 31404,TimothySears@gmail.com,Capital,False,4761214,0,26/04/2011,15/06/2018
78,Rhea Davenport,M,7410070-K,26/06/1970,45 Goldfield Rd.Tacoma WA 98444,RheaDavenport@gmail.com,Cuprum,False,7623885,0,27/04/1989,09/09/2018
79,Cairo Donaldson,F,7755496-K,12/12/1969,39 Cherry DriveOzone Park NY 11417,CairoDonaldson@gmail.com,Habitat,True,25403126,17435519,17/01/1989,03/06/2017
80,Conan Love,M,16366006-0,01/04/1987,756 Edgewater Dr.Grand Rapids MI 49503,ConanLove@gmail.com,Provida,True,15978323,12658663,13/09/2007,07/02/2016
81,Wyatt Daniel,F,12517343-5,11/05/1979,38 Beaver Ridge Rd.Zion IL 60099,WyattDaniel@gmail.com,Capital,False,6672008,0,02/09/1998,19/06/2019
82,Abbot Velez,F,13520038-0,17/02/1983,341 E. Canterbury RoadYonkers NY 10701,AbbotVelez@gmail.com,Provida,True,12052340,19789830,17/11/2002,24/02/2017
83,Cooper Dillon,M,13243422-K,25/03/1992,48 Mayflower StreetEverett MA 02149,CooperDillon@gmail.com,Habitat,True,7063040,1418121,08/10/2010,04/09/2017
84,Rhea Owen,F,16306464-5,15/05/1983,8831 W. Oakwood DriveChester PA 19013,RheaOwen@gmail.com,Cuprum,False,8651131,0,19/10/2002,28/12/2018
85,Bertha Graves,F,14391080-K,05/01/1996,635 Logan St.Cumming GA 30040,BerthaGraves@gmail.com,Capital,True,3313036,8186605,17/12/2016,28/03/2019
86,Sarah Finch,M,10947213-4,12/02/1971,12 Hillcrest LaneDearborn Heights MI 48127,SarahFinch@gmail.com,Habitat,False,4514521,0,05/11/1991,12/02/2018
87,Nadine Schroeder,M,12191814-K,14/12/1976,4 West 1st LaneLittleton CO 80123,NadineSchroeder@gmail.com,Cuprum,False,7434187,0,10/06/1995,17/09/2016
88,Joan Riddle,M,6443005-K,05/01/1970,38 Forest CircleWilliamsburg VA 23185,JoanRiddle@gmail.com,Capital,True,13784686,13220013,20/08/1990,23/08/2017
89,Abbot Tyler,F,7539299-1,18/08/1961,804 Fairway Rd.Chattanooga TN 37421,AbbotTyler@gmail.com,Capital,True,31041948,22471691,09/01/1979,06/04/2020
90,Clare Thomas,M,19709957-K,30/06/1993,315 Center StreetBowling Green KY 42101,ClareThomas@gmail.com,Planvital,False,13083927,0,29/07/2012,06/07/2018
91,Kibo Farrell,F,19133282-K,14/05/1992,8628 Ivy DriveJamestown NY 14701,KiboFarrell@gmail.com,Planvital,True,18401318,3899818,11/06/2012,18/05/2016
92,Brianna Hull,F,9674613-K,12/02/1971,421 North Thatcher Rd.Rolling Meadows IL 60008,BriannaHull@gmail.com,Cuprum,False,1939220,0,25/10/1990,09/06/2018
93,Jarrod Brewer,M,15006835-4,27/07/1991,125 NW. Studebaker LaneShelton CT 06484,JarrodBrewer@gmail.com,Cuprum,False,7071652,0,06/10/2010,01/03/2020
94,Cairo Mckay,M,9316569-1,14/04/1974,25 Cherry Dr.Lake Zurich IL 60047,CairoMckay@gmail.com,Capital,True,13323836,12984388,22/04/1993,30/11/2016
95,Melinda Velez,F,6522263-4,06/11/1967,864 River DriveTwin Falls ID 83301,MelindaVelez@gmail.com,Planvital,False,6826357,0,04/01/1987,28/10/2019
96,Bruce Hull,M,7566633-8,19/12/1968,94 Harvey AvenueBurlington MA 01803,BruceHull@gmail.com,Cuprum,True,15522932,30053660,27/02/1988,05/09/2016
97,Timothy Walters,M,13336497-K,02/01/1984,9131 Bow Ridge St.Mocksville NC 27028,TimothyWalters@gmail.com,Provida,True,17970484,1095470,10/01/2002,03/08/2017
98,Elizabeth Brooks,M,7324700-5,24/09/1970,9176 Union St.Bemidji MN 56601,ElizabethBrooks@gmail.com,Cuprum,False,39719047,0,14/01/1989,13/08/2020
99,Raja Hansen,F,15263707-8,07/11/1985,460 Blackburn RoadNewnan GA 30263,RajaHansen@gmail.com,Capital,True,18490149,484293,27/01/2004,04/02/2019
100,Jarrod Scott,F,6259343-7,04/04/1964,7952 South Studebaker St.Coraopolis PA 15108,JarrodScott@gmail.com,Cuprum,True,33677341,30312999,08/08/1983,21/10/2017
101,Brianna Garcia,M,9722966-4,08/12/1972,68 Annadale RoadAbingdon MD 21009,BriannaGarcia@gmail.com,Planvital,True,15826694,14035171,12/04/1992,14/02/2018
102,Hoyt Craft,F,11277453-K,14/03/1974,7952 South Studebaker St.Coraopolis PA 15108,HoytCraft@gmail.com,Modelo,True,1190498,796889,05/05/1994,28/05/2017
103,Eliana Hutchinson,M,8501761-K,27/08/1972,847 Marshall St.Dedham MA 02026,ElianaHutchinson@gmail.com,Cuprum,False,6947426,0,07/09/1990,14/12/2018
104,Belle Brooks,F,12698642-4,15/01/1978,566 West Saxon Rd.Enterprise AL 36330,BelleBrooks@gmail.com,Provida,False,9637988,0,08/09/1998,06/11/2019
105,Dennis Owen,M,12418825-K,09/02/1980,393 Center LaneElizabeth City NC 27909,DennisOwen@gmail.com,Modelo,False,5459696,0,26/04/2000,06/06/2019
106,Baker Gregory,M,18917373-K,05/09/1986,61 Bayberry St.Macomb MI 48042,BakerGregory@gmail.com,Cuprum,True,4185857,12853306,09/07/2004,21/01/2020
107,Elizabeth Higgins,M,7559454-7,22/02/1964,9322 Sunset DriveCanton GA 30114,ElizabethHiggins@gmail.com,Planvital,False,18007816,0,13/12/1983,15/01/2020
108,Drew Estrada,F,9689771-K,25/12/1976,9466 Smith DriveSouthaven MS 38671,DrewEstrada@gmail.com,Modelo,False,430800,0,18/06/1995,06/03/2020
109,Ina Buchanan,F,13538527-5,11/09/1994,9580 Charles St.Phoenixville PA 19460,InaBuchanan@gmail.com,Capital,True,635276,9449000,02/05/2012,06/04/2019
110,Uriel Schroeder,M,13914789-2,24/07/1995,538 Race RoadBuckeye AZ 85326,UrielSchroeder@gmail.com,Planvital,False,15557314,0,01/06/2015,31/08/2017
111,Paki Gonzalez,F,16010758-5,23/02/1982,8094 Lilac StreetOswego NY 13126,PakiGonzalez@gmail.com,Planvital,False,11569291,0,11/03/2001,14/04/2020
112,Armando Velez,M,10410765-K,02/09/1975,57 Adams DriveCapitol Heights MD 20743,ArmandoVelez@gmail.com,Capital,True,10538904,5909399,28/09/1995,06/11/2019
113,Eliana Hull,F,7002215-0,16/03/1970,948 Cambridge StreetMount Vernon NY 10550,ElianaHull@gmail.com,Capital,True,37463561,38678791,23/10/1988,25/06/2020
114,Fulton Howard,F,16201718-K,20/07/1997,623 Hudson LaneGreat Falls MT 59404,FultonHoward@gmail.com,Modelo,True,13801102,19528100,01/05/2015,02/05/2019
115,Fulton Hull,M,14030063-K,28/01/1994,183 Howard St.Lewis Center OH 43035,FultonHull@gmail.com,Habitat,True,14887695,3005438,02/07/2013,23/08/2016
116,Jocelyn Tillman,M,18944430-K,17/11/1995,85 North Mayflower LaneElk River MN 55330,JocelynTillman@gmail.com,Planvital,False,16338580,0,26/08/2014,11/04/2016
117,Sharon Walters,F,7067272-6,13/02/1961,920 Harvard Ave.Duarte CA 91010,SharonWalters@gmail.com,Provida,True,18330437,21143369,15/06/1980,20/08/2020
118,Jackson Cabrera,F,7071494-5,13/02/1962,39 S. Newbridge St.Londonderry NH 03053,JacksonCabrera@gmail.com,Provida,True,31966693,17278338,09/09/1981,23/05/2016
119,Benjamin Cain,M,10007546-K,31/07/1974,96 Rockland CourtStarkville MS 39759,BenjaminCain@gmail.com,Capital,False,15679783,0,23/06/1992,10/02/2017
120,Graham Sears,F,16532334-K,24/05/1995,863 Mulberry Ave.Streamwood IL 60107,GrahamSears@gmail.com,Planvital,True,8698521,1945741,19/12/2015,02/04/2020
121,Jarrod Monroe,M,7223193-K,09/08/1964,183 Howard St.Lewis Center OH 43035,JarrodMonroe@gmail.com,Capital,True,24080482,35318721,23/09/1982,27/10/2016
122,Jesse Day,M,18629881-K,07/06/1995,235 Hillside St.Randolph MA 02368,JesseDay@gmail.com,Capital,True,10840734,3116811,26/09/2013,06/03/2017
123,Devin Craft,F,15785728-4,07/08/1998,38 Sutor AvenueLincolnton NC 28092,DevinCraft@gmail.com,Provida,False,13702826,0,05/12/2018,09/04/2019
124,Sebastian Sweeney,F,11459351-K,08/04/1972,48 Mayflower StreetEverett MA 02149,SebastianSweeney@gmail.com,Modelo,False,6549698,0,25/03/1992,26/07/2018
125,Susan Blake,M,7785814-K,03/06/1970,53 Rockaway DriveFlorence SC 29501,SusanBlake@gmail.com,Modelo,False,17163736,0,20/08/1988,27/08/2016
126,Dante Mcguire,M,18419696-K,23/09/1985,622 South Gates StreetDerby KS 67037,DanteMcguire@gmail.com,Planvital,False,17284891,0,18/11/2004,24/02/2017
127,Mannix Hutchinson,F,10213931-K,28/07/1979,704 Alderwood St.Hackettstown NJ 07840,MannixHutchinson@gmail.com,Modelo,False,16261525,0,21/07/1998,18/02/2017
128,Abbot Monroe,F,19303847-K,05/09/1991,90 South Fairfield Rd.Clayton NC 27520,AbbotMonroe@gmail.com,Capital,False,357055,0,16/09/2009,18/07/2019
129,Mason Sears,M,15214236-3,11/02/1988,84 Arnold Ave.Greenville NC 27834,MasonSears@gmail.com,Cuprum,True,227743,13703955,27/03/2006,25/03/2020
130,Brianna Gardner,M,6282353-6,26/09/1964,9316 Cambridge St.Westlake OH 44145,BriannaGardner@gmail.com,Habitat,False,34749065,0,20/02/1983,08/01/2019
131,Petra Stewart,F,14274049-5,09/11/1986,1 Hamilton StreetOwensboro KY 42301,PetraStewart@gmail.com,Habitat,False,15824330,0,28/04/2004,29/08/2020
132,Sybill Tyler,M,7653414-3,02/05/1970,57 Shadow Brook DriveLorain OH 44052,SybillTyler@gmail.com,Habitat,True,34659882,11691413,27/09/1988,09/06/2019
133,Caleb Booth,F,16292451-4,05/07/1990,8698 Poor House DriveClover SC 29710,CalebBooth@gmail.com,Provida,False,4985162,0,28/03/2008,14/10/2017
134,Oprah Gonzalez,M,18401563-6,16/03/1983,97 Beech DriveRossville GA 30741,OprahGonzalez@gmail.com,Capital,False,7625925,0,17/12/2003,15/03/2017
135,Armando Walters,F,16539217-8,15/04/1985,7450 Walt Whitman St.Royal Oak MI 48067,ArmandoWalters@gmail.com,Capital,True,17766136,8719713,09/05/2003,12/02/2017
136,Brianna Sweeney,M,17431650-9,23/02/1991,75 North Heritage Dr.Munster IN 46321,BriannaSweeney@gmail.com,Cuprum,False,14021488,0,15/01/2009,01/09/2019
137,Debra Monroe,M,9518787-4,15/05/1979,7404 Amherst Ave.Eastpointe MI 48021,DebraMonroe@gmail.com,Habitat,False,16111325,0,02/12/1998,23/10/2018
138,Armando Hull,M,19651376-K,07/03/1990,87 South Valley Farms StreetSaint Paul MN 55104,ArmandoHull@gmail.com,Modelo,True,14195170,18695259,11/03/2008,02/06/2017
139,Amber Finch,F,6458943-4,03/12/1964,9318 Peg Shop St.Strongsville OH 44136,AmberFinch@gmail.com,Planvital,True,12567567,9802933,20/08/1982,12/03/2017
140,Preston Frost,F,9953266-K,13/04/1978,7052 Ivy CourtCantonment FL 32533,PrestonFrost@gmail.com,Cuprum,False,7194730,0,08/05/1998,29/06/2020
141,Fulton Rivers,M,13444285-4,01/09/1988,9499 Snake Hill St.Park Forest IL 60466,FultonRivers@gmail.com,Modelo,False,2711712,0,12/09/2006,11/07/2017
142,Sharon Blake,M,14445317-8,29/04/1992,7076 Overlook AvenueLutherville Timonium MD 21093,SharonBlake@gmail.com,Provida,True,14149610,14820589,05/12/2010,24/05/2019
143,Dante Rivera,M,18905659-K,05/03/1988,221 Lakewood St.Fremont OH 43420,DanteRivera@gmail.com,Modelo,False,3060710,0,09/02/2006,01/02/2017
144,Sybill Booth,M,17519052-K,11/05/1995,7229 Indian Spring StreetWausau WI 54401,SybillBooth@gmail.com,Planvital,False,14701559,0,18/01/2014,13/04/2020
145,Nadine Stewart,M,16557732-K,03/07/1994,781 Creekside StreetGreensboro NC 27405,NadineStewart@gmail.com,Planvital,True,4527084,18100043,16/12/2013,11/03/2018
146,Sebastian Stewart,F,14933954-K,29/12/1983,622 South Gates StreetDerby KS 67037,SebastianStewart@gmail.com,Cuprum,False,13559442,0,27/02/2002,31/03/2019
147,Jocelyn Garza,M,7055822-9,14/01/1960,373 Lincoln StreetZanesville OH 43701,JocelynGarza@gmail.com,Modelo,False,15314142,0,09/08/1978,25/11/2016
148,Joan Heath,F,14050765-8,13/11/1984,991B Sunnyslope Ave.Alliance OH 44601,JoanHeath@gmail.com,Modelo,True,5888313,8031087,07/05/2002,03/11/2017
149,Louis Cain,M,15258443-K,18/07/1998,7778 Bay Meadows Rd.Yakima WA 98908,LouisCain@gmail.com,Modelo,False,19970662,0,05/07/2017,04/08/2019
150,Lysandra Foreman,M,17825801-K,30/05/1995,8424 Summerhouse Ave.Piscataway NJ 08854,LysandraForeman@gmail.com,Modelo,True,18244840,7845053,21/02/2013,30/08/2020
151,Connor Sweeney,F,8372469-K,10/06/1971,7050 Columbia StreetLittle Falls NJ 07424,ConnorSweeney@gmail.com,Modelo,False,10217175,0,27/03/1990,02/05/2016
152,Wyatt Kennedy,M,18377931-K,28/03/1994,380 Fairground DriveGarland TX 75043,WyattKennedy@gmail.com,Capital,True,9846816,184641,10/03/2014,13/11/2019
153,Denise Griffin,F,13789509-K,17/11/1992,34 Iroquois CourtLake In The Hills IL 60156,DeniseGriffin@gmail.com,Habitat,False,19253435,0,04/07/2011,21/10/2017
154,Ina Hull,F,9380128-4,20/08/1976,762 Aspen St.Kissimmee FL 34741,InaHull@gmail.com,Modelo,True,6557179,1198292,28/02/1995,17/07/2020
155,Amber Frost,M,6401066-K,04/04/1969,179 Wall Ave.Bridgeport CT 06606,AmberFrost@gmail.com,Provida,False,16848521,0,29/03/1987,21/01/2016
156,Imani Higgins,F,17588017-1,08/07/1990,935 Rose StreetValley Stream NY 11580,ImaniHiggins@gmail.com,Habitat,True,8595775,51680,13/11/2008,20/03/2018
157,Cooper Bernard,F,14284136-K,02/09/1994,105 Argyle StreetWest Bend WI 53095,CooperBernard@gmail.com,Cuprum,False,18291788,0,12/07/2012,22/11/2016
